Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:29,0,0.137,0.005
11/18/18 1:29,0.2,0.145,0.005
11/18/18 1:29,0.4,0.136,0.005
11/18/18 1:29,0.6,0.146,0.005
11/18/18 1:29,0.8,0.138,0.005
11/18/18 1:29,1,0.135,0.005
11/18/18 1:29,1.2,0.131,0.005
11/18/18 1:29,1.4,0.128,0.005
11/18/18 1:29,1.6,0.137,0.005
11/18/18 1:29,1.8,0.131,0.005
11/18/18 1:29,2,0.131,0.005
11/18/18 1:29,2.2,0.135,0.005
11/18/18 1:29,2.4,0.137,0.005
11/18/18 1:29,2.6,0.121,0.006
11/18/18 1:29,2.8,0.126,0.005
11/18/18 1:29,3,0.127,0.004
11/18/18 1:29,3.2,0.129,0.004
11/18/18 1:29,3.4,0.128,0.005
11/18/18 1:29,3.6,0.129,0.005
11/18/18 1:29,3.8,0.136,0.006
11/18/18 1:29,4,0.131,0.005
11/18/18 1:29,4.2,0.135,0.006
11/18/18 1:29,4.4,0.131,0.005
11/18/18 1:29,4.6,0.135,0.005
11/18/18 1:29,4.8,0.133,0.006
11/18/18 1:29,5,0.129,0.006
11/18/18 1:29,5.2,0.129,0.006
11/18/18 1:29,5.4,0.128,0.005
11/18/18 1:29,5.6,0.131,0.005
11/18/18 1:29,5.8,0.129,0.005
11/18/18 1:29,6,0.122,0.006
11/18/18 1:29,6.2,0.126,0.005
11/18/18 1:29,6.4,0.119,0.005
11/18/18 1:29,6.6,0.131,0.006
11/18/18 1:29,6.8,0.131,0.006
11/18/18 1:29,7,0.129,0.005
11/18/18 1:29,7.2,0.126,0.005
11/18/18 1:29,7.4,0.132,0.005
11/18/18 1:29,7.6,0.17,0.006
11/18/18 1:29,7.8,0.192,0.005
11/18/18 1:29,8,0.209,0.005
11/18/18 1:29,8.2,0.228,0.006
11/18/18 1:29,8.4,0.244,0.007
11/18/18 1:29,8.6,0.261,0.005
11/18/18 1:29,8.8,0.277,0.006
11/18/18 1:29,9,0.29,0.005
11/18/18 1:29,9.2,0.308,0.005
11/18/18 1:29,9.4,0.314,0.006
11/18/18 1:29,9.6,0.319,0.005
11/18/18 1:29,9.8,0.312,0.006
11/18/18 1:29,10,0.313,0.004
11/18/18 1:29,10.2,0.312,0.005
11/18/18 1:29,10.4,0.312,0.005
11/18/18 1:29,10.6,0.317,0.006
11/18/18 1:29,10.8,0.319,0.005
11/18/18 1:29,11,0.315,0.007
11/18/18 1:29,11.2,0.316,0.005
11/18/18 1:29,11.4,0.319,0.006
11/18/18 1:29,11.6,0.315,0.006
11/18/18 1:29,11.8,0.306,0.006
11/18/18 1:29,12,0.3,0.007
11/18/18 1:29,12.2,0.303,0.006
11/18/18 1:29,12.4,0.326,0.007
11/18/18 1:29,12.6,0.327,0.005
11/18/18 1:29,12.8,0.337,0.005
11/18/18 1:29,13,0.334,0.007
11/18/18 1:29,13.2,0.329,0.006
11/18/18 1:29,13.4,0.321,0.005
11/18/18 1:29,13.6,0.311,0.006
11/18/18 1:29,13.8,0.303,0.006
11/18/18 1:29,14,0.322,0.005
11/18/18 1:29,14.2,0.314,0.006
11/18/18 1:29,14.4,0.319,0.006
11/18/18 1:29,14.6,0.331,0.007
11/18/18 1:29,14.8,0.323,0.006
11/18/18 1:29,15,0.317,0.005
11/18/18 1:29,15.2,0.32,0.005
11/18/18 1:29,15.4,0.317,0.005
11/18/18 1:29,15.6,0.305,0.006
11/18/18 1:29,15.8,0.304,0.006
11/18/18 1:29,16,0.315,0.006
11/18/18 1:29,16.2,0.292,0.005
11/18/18 1:29,16.4,0.248,0.006
11/18/18 1:29,16.6,0.217,0.007
11/18/18 1:29,16.8,0.195,0.007
11/18/18 1:30,17,0.18,0.005
11/18/18 1:30,17.2,0.179,0.005
11/18/18 1:30,17.4,0.172,0.006
11/18/18 1:30,17.6,0.166,0.007
11/18/18 1:30,17.8,0.153,0.007
11/18/18 1:30,18,0.15,0.006
11/18/18 1:30,18.2,0.15,0.007
11/18/18 1:30,18.4,0.15,0.005
11/18/18 1:30,18.6,0.145,0.007
11/18/18 1:30,18.8,0.138,0.006
11/18/18 1:30,19,0.142,0.005
11/18/18 1:30,19.2,0.139,0.005
11/18/18 1:30,19.4,0.143,0.006
11/18/18 1:30,19.6,0.139,0.006
11/18/18 1:30,19.8,0.143,0.006
11/18/18 1:30,20,0.139,0.005
11/18/18 1:30,20.2,0.148,0.006
11/18/18 1:30,20.4,0.15,0.005
11/18/18 1:30,20.6,0.145,0.007
11/18/18 1:30,20.8,0.142,0.006
11/18/18 1:30,21,0.136,0.006
11/18/18 1:30,21.2,0.146,0.006
11/18/18 1:30,21.4,0.159,0.005
11/18/18 1:30,21.6,0.151,0.005
11/18/18 1:30,21.8,0.142,0.006
11/18/18 1:30,22,0.156,0.005
11/18/18 1:30,22.2,0.151,0.005
11/18/18 1:30,22.4,0.156,0.005
11/18/18 1:30,22.6,0.156,0.005
11/18/18 1:30,22.8,0.137,0.006
11/18/18 1:30,23,0.134,0.005
11/18/18 1:30,23.2,0.13,0.006
11/18/18 1:30,23.4,0.123,0.005
11/18/18 1:30,23.6,0.126,0.005
11/18/18 1:30,23.8,0.121,0.005
11/18/18 1:30,24,0.117,0.005
11/18/18 1:30,24.2,0.141,0.006
11/18/18 1:30,24.4,0.166,0.005
11/18/18 1:30,24.6,0.154,0.007
11/18/18 1:30,24.8,0.137,0.007
11/18/18 1:30,25,0.14,0.005
11/18/18 1:30,25.2,0.131,0.004
11/18/18 1:30,25.4,0.121,0.005
11/18/18 1:30,25.6,0.121,0.005
11/18/18 1:30,25.8,0.127,0.005
11/18/18 1:30,26,0.129,0.005
11/18/18 1:30,26.2,0.14,0.004
11/18/18 1:30,26.4,0.146,0.004
11/18/18 1:30,26.6,0.146,0.005
11/18/18 1:30,26.8,0.143,0.006
11/18/18 1:30,27,0.137,0.005
11/18/18 1:30,27.2,0.142,0.005
11/18/18 1:30,27.4,0.134,0.005
11/18/18 1:30,27.6,0.126,0.005
11/18/18 1:30,27.8,0.129,0.005
11/18/18 1:30,28,0.132,0.005
11/18/18 1:30,28.2,0.139,0.004
11/18/18 1:30,28.4,0.146,0.005
11/18/18 1:30,28.6,0.153,0.005
11/18/18 1:30,28.8,0.143,0.005
11/18/18 1:30,29,0.142,0.004
11/18/18 1:30,29.2,0.151,0.005
11/18/18 1:30,29.4,0.145,0.005
11/18/18 1:30,29.6,0.143,0.005
11/18/18 1:30,29.8,0.14,0.006
11/18/18 1:30,30,0.137,0.005
11/18/18 1:30,30.2,0.139,0.004
11/18/18 1:30,30.4,0.126,0.005
11/18/18 1:30,30.6,0.126,0.005
11/18/18 1:30,30.8,0.126,0.004
11/18/18 1:30,31,0.143,0.005
11/18/18 1:30,31.2,0.134,0.005
